
totalCount = 102  totalSize = 29355672 bit,  28667.648438 KB,  27.995750 MB


md5 = 853f79e74fb0c94f9018ced79d1dcd55   size = 1907.81 KB   name = core_res_font.zip
md5 = 03c7e50327c50951c1929d1eae822e69   size = 1532.79 KB   name = core_res_img_role_1.zip
md5 = 0a9b83717b20f0a60e83182fc3d8dfc2   size = 1249.10 KB   name = core_res_spine_4.zip
md5 = 889595f37050030069e024b688bac095   size = 931.12 KB   name = core_res_script_Template_1.zip
md5 = fa970141aca2ec0bc86347d56d4d6fcf   size = 925.63 KB   name = core_res_img_ui_1.zip
md5 = d6231330c7f4f518f20d24fa287fbbe8   size = 865.88 KB   name = core_res_spine_2.zip
md5 = e829d217914a6eba5b41010c3013c49d   size = 823.73 KB   name = core_res_img_2.zip
md5 = dfc85507f8525f63926d0f3d6500fa00   size = 799.12 KB   name = core_res_img_role_2.zip
md5 = f640409e464daf94d55a08720342bbac   size = 730.99 KB   name = core_res_audio_music_1.zip
md5 = 301ae31c835883bd4534b1fa4e61441a   size = 679.48 KB   name = core_res_img_effect_1.zip
md5 = 2f7cdda2c85062d4a04aafee445bcb75   size = 664.51 KB   name = core_res_img_1.zip
md5 = 010ec3dac55cd3b2e3584ec1bf3c5b9f   size = 655.85 KB   name = core_res_script_Template_Template_4.zip
md5 = 9c7fcfb1006ce8738d134eb94ac35c56   size = 642.84 KB   name = core_res_img_effect_3.zip
md5 = 07a3a64d474d98f48ff63bac410a0ed2   size = 636.59 KB   name = core_res_img_effect_2.zip
md5 = 2f49d03b6447b71de0919b933c8258fb   size = 625.03 KB   name = core_res_script_Template_Template_1.zip
md5 = 61efd6f81ff52ce0606cd0cbda46e87b   size = 567.09 KB   name = core_res_csb.zip
md5 = 91447fd0d6a8edf0b93b7d2f5c8b9837   size = 553.90 KB   name = core_res_script_Template_Template_3.zip
md5 = 4a84d8007cd95355bfef93eff475691a   size = 545.99 KB   name = core_res_img_anim_mining_1.zip
md5 = 07989708c93f5ca76f7e06d498ccef61   size = 539.91 KB   name = core_res_img_icon_1.zip
md5 = ac1a534494ec0c93aa7c7df38b1efcd9   size = 539.25 KB   name = core_res_img_adventure_1.zip
md5 = 36a33827d4826a7ada38e51e0d61d3ad   size = 535.38 KB   name = core_res_img_role_role_7.zip
md5 = 607c7714163fbbe028325bb60beb5ca8   size = 529.52 KB   name = core_res_spine_1.zip
md5 = 536701b098c75c961b04642ed3ba6dbf   size = 522.89 KB   name = core_res_img_role_role_1.zip
